0.0 2579.0 2397.0
0.0 3220.0 3579.0
0.0 3577.0 6152.0
0.0 7147.0 1332.0
0.0 9507.0 4147.0
0.0 9847.0 1373.0
0.0 11531.0 3782.0
0.0 12418.0 2720.0
0.0 13842.0 3923.0
0.0 15149.0 5955.0
1.0 2450.0 269.0
1.0 10378.0 163.0
1.0 10771.0 89.0
1.0 11407.0 403.0
1.0 11442.0 151.0
1.0 11443.0 354.0
1.0 14734.0 94.0
1.0 14949.0 66.0
1.0 15886.0 76.0
2.0 500.0 686.0
2.0 3836.0 903.0
2.0 4299.0 279.0
2.0 5709.0 309.0
2.0 5929.0 524.0
2.0 9698.0 366.0
2.0 10860.0 221.0
2.0 12625.0 407.0
2.0 13469.0 359.0
2.0 16583.0 223.0
2.0 17332.0 729.0
3.0 1512.0 255.0
3.0 1670.0 265.0
3.0 2327.0 673.0
3.0 2502.0 298.0
3.0 3111.0 127.0
3.0 3837.0 207.0
3.0 7056.0 209.0
3.0 8101.0 138.0
3.0 15181.0 118.0
3.0 15358.0 452.0
4.0 81.0 14.0
4.0 1398.0 15.0
4.0 9385.0 18.0
4.0 9455.0 17.0
4.0 10054.0 15.0
4.0 10262.0 20.0
4.0 10312.0 16.0
4.0 11310.0 26.0
4.0 12035.0 16.0
4.0 16179.0 24.0
5.0 1261.0 667.0
5.0 1797.0 2852.0
5.0 1948.0 1164.0
5.0 2336.0 11112.0
5.0 2973.0 587.0
5.0 3671.0 1027.0
5.0 7877.0 1082.0
5.0 7896.0 1169.0
5.0 8352.0 5846.0
5.0 8520.0 3251.0
5.0 10414.0 962.0
6.0 1029.0 588.0
6.0 2893.0 800.0
6.0 3023.0 783.0
6.0 5677.0 456.0
6.0 8352.0 921.0
6.0 9828.0 400.0
6.0 10966.0 432.0
6.0 12072.0 428.0
6.0 12539.0 389.0
6.0 12947.0 345.0
6.0 13894.0 553.0
7.0 438.0 234.0
7.0 5011.0 590.0
7.0 7881.0 1113.0
7.0 13657.0 357.0
7.0 14053.0 273.0
7.0 14839.0 267.0
7.0 16619.0 236.0
7.0 17458.0 345.0
7.0 17595.0 273.0
8.0 1512.0 310.0
8.0 1957.0 367.0
8.0 8751.0 169.0
8.0 9962.0 878.0
8.0 11482.0 177.0
8.0 12851.0 315.0
8.0 12964.0 161.0
8.0 14720.0 3132.0
8.0 14834.0 229.0
8.0 14939.0 317.0
9.0 12.0 1567.0
9.0 675.0 306.0
9.0 1522.0 4416.0
9.0 1948.0 249.0
9.0 2786.0 247.0
9.0 3023.0 555.0
9.0 3360.0 425.0
9.0 8520.0 264.0
9.0 9729.0 1007.0
